,names,dob,positon,month,year
0,Federico Valverde ,"<td class=""zentriert"">22/07/1998 (24)</td>",<tr><td>Mediocentro</td></tr>,07,98
1,Diego Rossi ,"<td class=""zentriert"">05/03/1998 (24)</td>",<tr><td>Extremo izquierdo</td></tr>,03,98
2,Leonardo Fernández ,"<td class=""zentriert"">08/11/1998 (23)</td>",<tr><td>Mediocentro ofensivo</td></tr>,11,98
3,Joaquín Piquerez ,"<td class=""zentriert"">24/08/1998 (24)</td>",<tr><td>Lateral izquierdo</td></tr>,08,98
4,Agustín Canobbio ,"<td class=""zentriert"">01/10/1998 (24)</td>",<tr><td>Extremo derecho</td></tr>,10,98
5,Santiago Bueno ,"<td class=""zentriert"">09/11/1998 (23)</td>",<tr><td>Defensa central</td></tr>,11,98
6,Marcelo Saracchi ,"<td class=""zentriert"">23/04/1998 (24)</td>",<tr><td>Lateral izquierdo</td></tr>,04,98
7,Agustín Oliveros ,"<td class=""zentriert"">17/08/1998 (24)</td>",<tr><td>Lateral izquierdo</td></tr>,08,98
8,Federico Viñas ,"<td class=""zentriert"">30/06/1998 (24)</td>",<tr><td>Delantero centro</td></tr>,06,98
9,Fabricio Domínguez ,"<td class=""zentriert"">24/06/1998 (24)</td>",<tr><td>Mediocentro</td></tr>,06,98
10,Enzo Martínez ,"<td class=""zentriert"">29/04/1998 (24)</td>",<tr><td>Defensa central</td></tr>,04,98
11,Alan Medina ,"<td class=""zentriert"">10/04/1998 (24)</td>",<tr><td>Interior derecho</td></tr>,04,98
12,Andrew Teuten ,"<td class=""zentriert"">20/07/1998 (24)</td>",<tr><td>Lateral izquierdo</td></tr>,07,98
13,Yvo Calleros ,"<td class=""zentriert"">14/03/1998 (24)</td>",<tr><td>Pivote</td></tr>,03,98
14,Eduardo Darias ,"<td class=""zentriert"">28/02/1998 (24)</td>",<tr><td>Interior derecho</td></tr>,02,98
15,Bruno Veglio ,"<td class=""zentriert"">12/02/1998 (24)</td>",<tr><td>Mediocentro</td></tr>,02,98
16,Carlos Benavidez ,"<td class=""zentriert"">30/03/1998 (24)</td>",<tr><td>Pivote</td></tr>,03,98
17,Nicolás Rossi ,"<td class=""zentriert"">16/05/1998 (24)</td>",<tr><td>Portero</td></tr>,05,98
18,Leandro Lozano ,"<td class=""zentriert"">19/12/1998 (23)</td>",<tr><td>Lateral derecho</td></tr>,12,98
19,Ignacio Pereira ,"<td class=""zentriert"">14/04/1998 (24)</td>",<tr><td>Extremo izquierdo</td></tr>,04,98
20,Cristopher Fiermarín ,"<td class=""zentriert"">01/01/1998 (24)</td>",<tr><td>Portero</td></tr>,01,98
21,Emanuel Beltrán ,"<td class=""zentriert"">23/01/1998 (24)</td>",<tr><td>Lateral derecho</td></tr>,01,98
22,Guillermo May ,"<td class=""zentriert"">11/03/1998 (24)</td>",<tr><td>Mediapunta</td></tr>,03,98
23,Diego Vicente ,"<td class=""zentriert"">19/07/1998 (24)</td>",<tr><td>Mediocentro ofensivo</td></tr>,07,98
24,Robert Ergas ,"<td class=""zentriert"">15/01/1998 (24)</td>",<tr><td>Lateral izquierdo</td></tr>,01,98
0,Roberto Fernández ,"<td class=""zentriert"">02/03/1998 (24)</td>",<tr><td>Pivote</td></tr>,03,98
1,Facundo Queiroz ,"<td class=""zentriert"">16/03/1998 (24)</td>",<tr><td>Defensa central</td></tr>,03,98
2,Emiliano Sosa ,"<td class=""zentriert"">18/02/1998 (24)</td>",<tr><td>Pivote</td></tr>,02,98
3,Leonard Costa ,"<td class=""zentriert"">24/08/1998 (24)</td>",<tr><td>Defensa central</td></tr>,08,98
4,Santiago Brunelli ,"<td class=""zentriert"">15/05/1998 (24)</td>",<tr><td>Defensa central</td></tr>,05,98
5,Agustín Rodríguez ,"<td class=""zentriert"">10/02/1998 (24)</td>",<tr><td>Delantero centro</td></tr>,02,98
6,Santiago Mederos ,"<td class=""zentriert"">16/01/1998 (24)</td>",<tr><td>Interior izquierdo</td></tr>,01,98
7,Nahuel Furtado ,"<td class=""zentriert"">20/03/1998 (24)</td>",<tr><td>Lateral derecho</td></tr>,03,98
8,Matías De Los Santos ,"<td class=""zentriert"">28/09/1998 (24)</td>",<tr><td>Pivote</td></tr>,09,98
9,Francisco Ibáñez ,"<td class=""zentriert"">17/04/1998 (24)</td>",<tr><td>Defensa central</td></tr>,04,98
10,Fabián Píriz ,"<td class=""zentriert"">25/01/1998 (24)</td>",<tr><td>Lateral izquierdo</td></tr>,01,98
11,Agustín Requena ,"<td class=""zentriert"">09/12/1998 (23)</td>",<tr><td>Portero</td></tr>,12,98
12,Nahuel Roldán ,"<td class=""zentriert"">21/12/1998 (23)</td>",<tr><td>Extremo izquierdo</td></tr>,12,98
